millis,stamp,datetime,degree,distance
265021,1694973639,2023/9/17 18:00,23,39
266006,1694973640,2023/9/17 18:00,68,23
266040,1694973640,2023/9/17 18:00,69,24
267009,1694973641,2023/9/17 18:00,120,0
268006,1694973642,2023/9/17 18:00,173,20
268040,1694973642,2023/9/17 18:00,174,19
269015,1694973643,2023/9/17 18:00,145,17
270016,1694973644,2023/9/17 18:00,92,25
271008,1694973645,2023/9/17 18:00,41,40
272001,1694973646,2023/9/17 18:00,10,21
272034,1694973646,2023/9/17 18:00,11,21
273016,1694973647,2023/9/17 18:00,60,24
274009,1694973648,2023/9/17 18:00,112,16
275005,1694973649,2023/9/17 18:00,165,18
275039,1694973649,2023/9/17 18:00,166,18
276004,1694973650,2023/9/17 18:00,153,17
276038,1694973650,2023/9/17 18:00,152,17
277017,1694973651,2023/9/17 18:00,100,18
278009,1694973652,2023/9/17 18:00,53,295
279019,1694973653,2023/9/17 18:00,2,21
280008,1694973654,2023/9/17 18:00,48,27
281007,1694973655,2023/9/17 18:00,100,18
282010,1694973656,2023/9/17 18:00,153,16
283003,1694973657,2023/9/17 18:00,166,18
283037,1694973657,2023/9/17 18:00,165,18
284018,1694973658,2023/9/17 18:00,113,17
285010,1694973659,2023/9/17 18:00,61,22
286010,1694973660,2023/9/17 18:01,11,21
287011,1694973661,2023/9/17 18:01,40,40
288007,1694973662,2023/9/17 18:01,88,25
288037,1694973662,2023/9/17 18:01,89,25
289018,1694973663,2023/9/17 18:01,141,16
290013,1694973664,2023/9/17 18:01,174,39
291014,1694973665,2023/9/17 18:01,121,0
292005,1694973666,2023/9/17 18:01,69,24
292039,1694973666,2023/9/17 18:01,68,24
293004,1694973667,2023/9/17 18:01,20,22
293038,1694973667,2023/9/17 18:01,19,22
294012,1694973668,2023/9/17 18:01,31,40
295003,1694973669,2023/9/17 18:01,77,23
295035,1694973669,2023/9/17 18:01,78,0
296003,1694973670,2023/9/17 18:01,129,16
296039,1694973670,2023/9/17 18:01,130,16
297014,1694973671,2023/9/17 18:01,179,40
298010,1694973672,2023/9/17 18:01,139,16
299011,1694973673,2023/9/17 18:01,86,24
300013,1694973674,2023/9/17 18:01,39,40
301007,1694973675,2023/9/17 18:01,9,21
302010,1694973676,2023/9/17 18:01,51,25
